date,沪深300,上证50,中证500,S&P 500,SGE黄金9999,中债金融债券总财富(总值)指数,中证企业债
2005-01-07,983.958,823.616,997.606,1186.19,113.19,106.915,96
2005-01-14,988.306,829.042,1000.169,1184.52,113.67,107.395,96.53
2005-01-21,982.604,831.847,988.519,1167.87,113.2,107.278,97.24
2005-01-28,969.209,820.689,952.413,1171.36,113.56,107.583,97.76
2005-02-04,1016.858,872.884,962.028,1203.03,111.84,108.137,98.06
2005-02-18,1006.055,856.212,964.769,1201.59,113.8,108.561,98.69
2005-02-25,1046.761,878.503,1024.118,1211.37,115.6,108.157,99.14
2005-03-04,1023.667,859.489,1003.21,1222.12,115.88,108.562,99.97
2005-03-11,1027.429,853.898,1009.434,1200.08,117.64,108.524,100.46
2005-03-18,978.665,821.028,949.509,1189.65,117.73,108.996,101.78
2005-03-25,962.955,806.425,931.417,1171.42,115.45,108.975,101.45
2005-04-01,978.145,822.91,927.546,1172.92,114.8,109.317,102.1
2005-04-08,1003.445,838.056,949.457,1181.2,114.26,109.462,103.52
2005-04-15,974.082,817.094,913.271,1142.62,113.79,109.608,105.83
2005-04-22,939.101,794.819,857.401,1152.12,115.62,109.951,105.15
2005-04-29,932.395,789.732,847.611,1156.85,115.2,109.769,106.01
2005-05-13,887.543,757.304,814.878,1154.05,113.05,110.026,107.02
2005-05-20,882.763,753.071,819.13,1189.28,112.46,110.338,107.46
2005-05-27,849.508,724.522,790.998,1198.78,111.85,110.228,107.7
2005-06-03,818.033,700.434,765.967,1196.02,112.35,110.187,108.15
2005-06-10,894.556,766.663,831.605,1198.11,112.74,110.52,108.8
2005-06-17,880.345,762.178,800.137,1216.96,115.1,111.438,110.57
2005-06-24,898.301,772.319,813.203,1191.57,116.31,111.348,111.09
2005-07-01,859.494,748.046,760.352,1194.44,115.38,111.493,111.28
2005-07-08,829.489,727.556,722.854,1211.86,113.34,111.62,112.01
2005-07-15,841.001,748.519,714.488,1227.92,112.49,111.841,112.65
2005-07-22,859.693,768.724,721.445,1233.68,111.83,112.357,113.03
2005-07-29,888.164,788.632,744.825,1234.18,111.67,112.347,114.34
2005-08-05,923.803,812.329,787.819,1226.42,113.11,112.35,114.63
2005-08-12,938.316,822.329,816.386,1230.39,115.05,113.265,114.98
2005-08-19,923.038,817.685,820.869,1219.71,114.32,113.169,115.65
2005-08-26,928.258,822.197,840.431,1205.1,114.37,113.136,116.06
2005-09-02,947.871,829.463,872.485,1218.02,114.7,113.13,116.09
2005-09-09,949.065,823.639,879.503,1241.48,115.99,112.924,116.36
2005-09-16,967.495,830.621,917.638,1237.91,117.69,113.554,116.73
2005-09-23,916.154,793.163,868.549,1215.29,120.83,113.672,117.03
2005-09-30,917.392,793.652,869.509,1228.81,121.84,113.781,117.75
2005-10-14,904.828,777.492,876.053,1186.57,122.69,114.341,118.65
2005-10-21,904.414,774.058,895.027,1179.59,120.6,115.006,119.19
2005-10-28,867.729,749.964,825.063,1198.41,122.71,115.094,118.43
2005-11-04,878.361,758.924,835.122,1220.14,120.33,115.31,118.62
2005-11-11,864.79,746.45,823.956,1234.72,121,114.482,118.18
2005-11-18,882.241,760.566,843.738,1248.27,125.34,114.384,118.39
2005-11-25,884.105,766.678,841.13,1268.25,128.46,114.453,118.7
2005-12-02,869.936,757.021,817.864,1265.08,130.38,114.323,119.18
2005-12-09,887.358,777.031,819.2,1259.37,136.3,114.393,119.43
2005-12-16,902.561,782.04,834.537,1267.32,129.63,114.689,119.7
2005-12-23,915.89,791.441,845.589,1268.66,131.23,114.68,119.66
2005-12-30,923.451,796.396,860.131,1248.29,133.55,114.76,120.3
2006-01-06,970.032,836.895,891.94,1285.45,136.81,114.926,120.76
2006-01-13,978.809,831.136,932.499,1287.61,141.6,115.888,121.33
2006-01-20,993.34,840.376,952.769,1261.49,143.86,116.145,121.96
2006-01-25,1009.597,846.989,957.787,1264.68,143.95,116.161,121.35
